epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,2126.11,0.72938,0.3224,0.93506,0.99987,1,0.995,0.84392,0.68313,0.26152,0.93078,0.0011288,0.0011288,0.0011288
46,2173.35,0.73852,0.32145,0.93617,0.99986,1,0.995,0.84446,0.67957,0.25721,0.93196,0.001109,0.001109,0.001109
47,2219.66,0.72252,0.3182,0.93299,0.99987,1,0.995,0.84314,0.6683,0.25066,0.92372,0.0010892,0.0010892,0.0010892
48,2265.87,0.72497,0.31625,0.92736,0.99987,1,0.995,0.85178,0.66634,0.25276,0.92314,0.0010694,0.0010694,0.0010694
49,2313.37,0.71559,0.31225,0.92608,0.99987,1,0.995,0.84976,0.66794,0.24969,0.92409,0.0010496,0.0010496,0.0010496
50,2359.68,0.72553,0.31427,0.93537,0.99987,1,0.995,0.8457,0.67501,0.25289,0.92863,0.0010298,0.0010298,0.0010298
51,2406.01,0.72679,0.3182,0.93119,0.99987,1,0.995,0.84805,0.67513,0.24493,0.92721,0.00101,0.00101,0.00101
52,2454.25,0.73488,0.31206,0.93653,0.99987,1,0.995,0.85137,0.67354,0.2468,0.92624,0.0009902,0.0009902,0.0009902
53,2500.19,0.72048,0.30843,0.93645,0.99987,1,0.995,0.84053,0.69324,0.25147,0.93789,0.0009704,0.0009704,0.0009704
54,2546.61,0.71931,0.30816,0.93338,0.99987,1,0.995,0.84441,0.67919,0.24468,0.92895,0.0009506,0.0009506,0.0009506
55,2594.43,0.71692,0.30955,0.93203,0.99984,1,0.995,0.84599,0.67942,0.23909,0.92801,0.0009308,0.0009308,0.0009308
56,2640.59,0.7224,0.31242,0.9344,0.99987,1,0.995,0.8344,0.70042,0.25358,0.93742,0.000911,0.000911,0.000911
57,2687.18,0.7271,0.31093,0.93717,0.99987,1,0.995,0.8525,0.6655,0.2504,0.92615,0.0008912,0.0008912,0.0008912
58,2734.84,0.72716,0.31295,0.93514,0.99988,1,0.995,0.85051,0.67101,0.24433,0.92791,0.0008714,0.0008714,0.0008714
59,2780.74,0.71448,0.30403,0.93686,0.99987,1,0.995,0.84845,0.67183,0.23693,0.92425,0.0008516,0.0008516,0.0008516
60,2826.41,0.71252,0.30753,0.92798,0.99987,1,0.995,0.85066,0.65952,0.23762,0.92269,0.0008318,0.0008318,0.0008318
61,2873.87,0.70734,0.30221,0.93273,0.99987,1,0.995,0.84207,0.69228,0.24225,0.93609,0.000812,0.000812,0.000812
62,2920.81,0.70353,0.29595,0.92527,0.99987,1,0.995,0.84974,0.66531,0.23876,0.92414,0.0007922,0.0007922,0.0007922
63,2968.25,0.71168,0.29971,0.93469,0.99986,1,0.995,0.84918,0.65862,0.23394,0.92233,0.0007724,0.0007724,0.0007724
64,3016.11,0.72431,0.30433,0.93638,0.99987,1,0.995,0.85436,0.65507,0.23753,0.92024,0.0007526,0.0007526,0.0007526
65,3062.6,0.70542,0.29935,0.93412,0.99987,1,0.995,0.84631,0.66794,0.24343,0.92779,0.0007328,0.0007328,0.0007328
66,3108.96,0.70126,0.29872,0.92554,0.99986,1,0.995,0.84837,0.67084,0.23879,0.92851,0.000713,0.000713,0.000713
67,3156.74,0.70349,0.29654,0.9293,0.99987,1,0.995,0.8449,0.67696,0.23733,0.9296,0.0006932,0.0006932,0.0006932
68,3203.27,0.69723,0.29548,0.92445,0.99987,1,0.995,0.85309,0.66362,0.23501,0.92242,0.0006734,0.0006734,0.0006734
69,3249.37,0.70951,0.32032,0.93403,0.99987,1,0.995,0.8412,0.6924,0.24159,0.93507,0.0006536,0.0006536,0.0006536
70,3296.94,0.69641,0.29072,0.9249,0.99987,1,0.995,0.85118,0.65641,0.23228,0.92164,0.0006338,0.0006338,0.0006338
71,3343.11,0.70863,0.29393,0.92747,0.99987,1,0.995,0.84946,0.6606,0.22919,0.92269,0.000614,0.000614,0.000614
72,3389.97,0.68818,0.28964,0.9281,0.99987,1,0.995,0.84936,0.65388,0.23357,0.92073,0.0005942,0.0005942,0.0005942
73,3437.64,0.68949,0.2871,0.92389,0.99987,1,0.995,0.84356,0.67839,0.23578,0.92649,0.0005744,0.0005744,0.0005744
74,3484.49,0.68129,0.28243,0.92069,0.99987,1,0.995,0.8487,0.66966,0.23145,0.92757,0.0005546,0.0005546,0.0005546
75,3531.17,0.68772,0.28529,0.92383,0.99987,1,0.995,0.8469,0.66483,0.2305,0.92506,0.0005348,0.0005348,0.0005348
76,3577.8,0.67968,0.28085,0.92012,0.99988,1,0.995,0.85218,0.6653,0.23173,0.92279,0.000515,0.000515,0.000515
77,3623.69,0.67976,0.27983,0.91655,0.99987,1,0.995,0.84872,0.6695,0.23292,0.92589,0.0004952,0.0004952,0.0004952
78,3670.68,0.6778,0.28064,0.92216,0.99988,1,0.995,0.85405,0.6695,0.23007,0.92551,0.0004754,0.0004754,0.0004754
79,3717.41,0.6663,0.27786,0.91258,0.99988,1,0.995,0.84795,0.67008,0.23161,0.92609,0.0004556,0.0004556,0.0004556
80,3763.64,0.67814,0.28236,0.92115,0.99987,1,0.995,0.84888,0.67412,0.22422,0.92887,0.0004358,0.0004358,0.0004358
81,3811.11,0.67375,0.27825,0.91879,0.99987,1,0.995,0.85111,0.67334,0.22987,0.92763,0.000416,0.000416,0.000416
82,3857.96,0.66967,0.28279,0.91596,0.99987,1,0.995,0.83441,0.70782,0.23483,0.94211,0.0003962,0.0003962,0.0003962
83,3904.02,0.66318,0.2786,0.91501,0.99987,1,0.995,0.84253,0.6932,0.2302,0.93593,0.0003764,0.0003764,0.0003764
84,3950.99,0.6628,0.2715,0.91694,0.99988,1,0.995,0.84844,0.66683,0.22454,0.92426,0.0003566,0.0003566,0.0003566
85,3997.44,0.66925,0.27176,0.91832,0.99987,1,0.995,0.84303,0.69061,0.22927,0.93576,0.0003368,0.0003368,0.0003368
86,4043.58,0.66062,0.2709,0.91345,0.99987,1,0.995,0.84082,0.69367,0.22918,0.9368,0.000317,0.000317,0.000317
87,4091.41,0.66076,0.26894,0.92138,0.99988,1,0.995,0.84517,0.67847,0.22532,0.92897,0.0002972,0.0002972,0.0002972
88,4137.56,0.65073,0.26568,0.91289,0.99988,1,0.995,0.84416,0.67366,0.2242,0.92876,0.0002774,0.0002774,0.0002774
